,$p_{ij}$,test,power
0,0.001,t-test,0.445
1,0.01108080808080808,t-test,0.34
2,0.021161616161616163,t-test,0.304
3,0.031242424242424245,t-test,0.25
4,0.041323232323232324,t-test,0.24
5,0.0514040404040404,t-test,0.212
6,0.06148484848484849,t-test,0.185
7,0.07156565656565657,t-test,0.173
8,0.08164646464646465,t-test,0.157
9,0.09172727272727273,t-test,0.155
10,0.1018080808080808,t-test,0.14
11,0.11188888888888888,t-test,0.143
12,0.12196969696969698,t-test,0.132
13,0.13205050505050506,t-test,0.135
14,0.14213131313131314,t-test,0.137
15,0.15221212121212122,t-test,0.135
16,0.1622929292929293,t-test,0.108
17,0.17237373737373737,t-test,0.121
18,0.18245454545454545,t-test,0.095
19,0.19253535353535353,t-test,0.083
20,0.2026161616161616,t-test,0.098
21,0.2126969696969697,t-test,0.097
22,0.22277777777777777,t-test,0.099
23,0.23285858585858585,t-test,0.107
24,0.24293939393939395,t-test,0.104
25,0.25302020202020203,t-test,0.097
26,0.2631010101010101,t-test,0.106
27,0.2731818181818182,t-test,0.1
28,0.28326262626262627,t-test,0.096
29,0.29334343434343435,t-test,0.091
30,0.30342424242424243,t-test,0.1
31,0.3135050505050505,t-test,0.083
32,0.3235858585858586,t-test,0.078
33,0.33366666666666667,t-test,0.089
34,0.34374747474747475,t-test,0.099
35,0.3538282828282828,t-test,0.081
36,0.3639090909090909,t-test,0.101
37,0.373989898989899,t-test,0.095
38,0.38407070707070706,t-test,0.096
39,0.39415151515151514,t-test,0.07
40,0.4042323232323232,t-test,0.09
41,0.4143131313131313,t-test,0.085
42,0.4243939393939394,t-test,0.085
43,0.43447474747474746,t-test,0.122
44,0.44455555555555554,t-test,0.092
45,0.4546363636363636,t-test,0.095
46,0.4647171717171717,t-test,0.092
47,0.4747979797979798,t-test,0.104
48,0.4848787878787879,t-test,0.097
49,0.494959595959596,t-test,0.104
50,0.5050404040404041,t-test,0.097
51,0.5151212121212121,t-test,0.095
52,0.5252020202020202,t-test,0.098
53,0.5352828282828282,t-test,0.088
