,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.011
2,0.020202020202020204,t-test,0.022
3,0.030303030303030304,t-test,0.042
4,0.04040404040404041,t-test,0.036
5,0.05050505050505051,t-test,0.047
6,0.06060606060606061,t-test,0.042
7,0.07070707070707072,t-test,0.042
8,0.08080808080808081,t-test,0.046
9,0.09090909090909091,t-test,0.045
10,0.10101010101010102,t-test,0.044
11,0.11111111111111112,t-test,0.037
12,0.12121212121212122,t-test,0.052
13,0.13131313131313133,t-test,0.059
14,0.14141414141414144,t-test,0.046
15,0.15151515151515152,t-test,0.041
16,0.16161616161616163,t-test,0.05
17,0.17171717171717174,t-test,0.058
18,0.18181818181818182,t-test,0.052
19,0.19191919191919193,t-test,0.04
20,0.20202020202020204,t-test,0.046
21,0.21212121212121213,t-test,0.057
22,0.22222222222222224,t-test,0.051
23,0.23232323232323235,t-test,0.044
24,0.24242424242424243,t-test,0.047
25,0.25252525252525254,t-test,0.048
26,0.26262626262626265,t-test,0.05
27,0.27272727272727276,t-test,0.04
28,0.2828282828282829,t-test,0.053
29,0.29292929292929293,t-test,0.05
30,0.30303030303030304,t-test,0.047
31,0.31313131313131315,t-test,0.046
32,0.32323232323232326,t-test,0.038
33,0.33333333333333337,t-test,0.049
34,0.3434343434343435,t-test,0.062
35,0.3535353535353536,t-test,0.055
36,0.36363636363636365,t-test,0.051
37,0.37373737373737376,t-test,0.049
38,0.38383838383838387,t-test,0.05
39,0.393939393939394,t-test,0.041
40,0.4040404040404041,t-test,0.058
41,0.4141414141414142,t-test,0.054
42,0.42424242424242425,t-test,0.053
43,0.43434343434343436,t-test,0.048
44,0.4444444444444445,t-test,0.036
45,0.4545454545454546,t-test,0.05
46,0.4646464646464647,t-test,0.057
47,0.4747474747474748,t-test,0.029
48,0.48484848484848486,t-test,0.061
49,0.494949494949495,t-test,0.056
50,0.5050505050505051,t-test,0.053
51,0.5151515151515152,t-test,0.05
52,0.5252525252525253,t-test,0.047
53,0.5353535353535354,t-test,0.043
54,0.5454545454545455,t-test,0.047
55,0.5555555555555556,t-test,0.054
56,0.5656565656565657,t-test,0.041
57,0.5757575757575758,t-test,0.054
58,0.5858585858585859,t-test,0.047
59,0.595959595959596,t-test,0.036
60,0.6060606060606061,t-test,0.033
61,0.6161616161616162,t-test,0.05
62,0.6262626262626263,t-test,0.04
63,0.6363636363636365,t-test,0.05
64,0.6464646464646465,t-test,0.043
65,0.6565656565656566,t-test,0.057
66,0.6666666666666667,t-test,0.038
67,0.6767676767676768,t-test,0.062
68,0.686868686868687,t-test,0.053
69,0.696969696969697,t-test,0.049
70,0.7070707070707072,t-test,0.049
