,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.007
2,0.020202020202020204,t-test,0.021
3,0.030303030303030304,t-test,0.039
4,0.04040404040404041,t-test,0.043
5,0.05050505050505051,t-test,0.035
6,0.06060606060606061,t-test,0.061
7,0.07070707070707072,t-test,0.057
8,0.08080808080808081,t-test,0.058
9,0.09090909090909091,t-test,0.06
10,0.10101010101010102,t-test,0.059
11,0.11111111111111112,t-test,0.048
12,0.12121212121212122,t-test,0.041
13,0.13131313131313133,t-test,0.053
14,0.14141414141414144,t-test,0.046
15,0.15151515151515152,t-test,0.032
16,0.16161616161616163,t-test,0.051
17,0.17171717171717174,t-test,0.05
18,0.18181818181818182,t-test,0.049
19,0.19191919191919193,t-test,0.059
20,0.20202020202020204,t-test,0.047
21,0.21212121212121213,t-test,0.049
22,0.22222222222222224,t-test,0.05
23,0.23232323232323235,t-test,0.037
24,0.24242424242424243,t-test,0.062
25,0.25252525252525254,t-test,0.033
26,0.26262626262626265,t-test,0.057
27,0.27272727272727276,t-test,0.043
28,0.2828282828282829,t-test,0.057
29,0.29292929292929293,t-test,0.063
30,0.30303030303030304,t-test,0.045
31,0.31313131313131315,t-test,0.05
32,0.32323232323232326,t-test,0.047
33,0.33333333333333337,t-test,0.047
34,0.3434343434343435,t-test,0.048
35,0.3535353535353536,t-test,0.053
36,0.36363636363636365,t-test,0.052
37,0.37373737373737376,t-test,0.046
38,0.38383838383838387,t-test,0.063
39,0.393939393939394,t-test,0.054
40,0.4040404040404041,t-test,0.053
41,0.4141414141414142,t-test,0.041
42,0.42424242424242425,t-test,0.053
43,0.43434343434343436,t-test,0.052
44,0.4444444444444445,t-test,0.063
45,0.4545454545454546,t-test,0.055
46,0.4646464646464647,t-test,0.052
47,0.4747474747474748,t-test,0.062
48,0.48484848484848486,t-test,0.058
49,0.494949494949495,t-test,0.044
50,0.5050505050505051,t-test,0.059
51,0.5151515151515152,t-test,0.057
52,0.5252525252525253,t-test,0.044
53,0.5353535353535354,t-test,0.059
54,0.5454545454545455,t-test,0.046
55,0.5555555555555556,t-test,0.041
56,0.5656565656565657,t-test,0.061
57,0.5757575757575758,t-test,0.047
58,0.5858585858585859,t-test,0.042
59,0.595959595959596,t-test,0.05
60,0.6060606060606061,t-test,0.069
