,$p_{ij}$,test,power
0,0.001,t-test,0.719
1,0.01108080808080808,t-test,0.453
2,0.021161616161616163,t-test,0.356
3,0.031242424242424245,t-test,0.305
4,0.041323232323232324,t-test,0.295
5,0.0514040404040404,t-test,0.258
6,0.06148484848484849,t-test,0.251
7,0.07156565656565657,t-test,0.217
8,0.08164646464646465,t-test,0.227
9,0.09172727272727273,t-test,0.191
10,0.1018080808080808,t-test,0.196
11,0.11188888888888888,t-test,0.181
12,0.12196969696969698,t-test,0.184
13,0.13205050505050506,t-test,0.147
14,0.14213131313131314,t-test,0.152
15,0.15221212121212122,t-test,0.178
16,0.1622929292929293,t-test,0.153
17,0.17237373737373737,t-test,0.149
18,0.18245454545454545,t-test,0.124
19,0.19253535353535353,t-test,0.143
20,0.2026161616161616,t-test,0.111
21,0.2126969696969697,t-test,0.119
22,0.22277777777777777,t-test,0.138
23,0.23285858585858585,t-test,0.124
24,0.24293939393939395,t-test,0.119
25,0.25302020202020203,t-test,0.099
26,0.2631010101010101,t-test,0.137
27,0.2731818181818182,t-test,0.105
28,0.28326262626262627,t-test,0.1
29,0.29334343434343435,t-test,0.141
30,0.30342424242424243,t-test,0.122
31,0.3135050505050505,t-test,0.119
32,0.3235858585858586,t-test,0.121
33,0.33366666666666667,t-test,0.104
34,0.34374747474747475,t-test,0.122
35,0.3538282828282828,t-test,0.105
36,0.3639090909090909,t-test,0.105
37,0.373989898989899,t-test,0.119
38,0.38407070707070706,t-test,0.116
39,0.39415151515151514,t-test,0.11
40,0.4042323232323232,t-test,0.122
41,0.4143131313131313,t-test,0.106
42,0.4243939393939394,t-test,0.11
43,0.43447474747474746,t-test,0.118
44,0.44455555555555554,t-test,0.123
45,0.4546363636363636,t-test,0.125
46,0.4647171717171717,t-test,0.12
47,0.4747979797979798,t-test,0.122
48,0.4848787878787879,t-test,0.134
49,0.494959595959596,t-test,0.125
50,0.5050404040404041,t-test,0.131
51,0.5151212121212121,t-test,0.124
52,0.5252020202020202,t-test,0.129
53,0.5352828282828282,t-test,0.118
54,0.5453636363636364,t-test,0.127
55,0.5554444444444444,t-test,0.115
56,0.5655252525252525,t-test,0.11
57,0.5756060606060606,t-test,0.107
58,0.5856868686868687,t-test,0.091
59,0.5957676767676767,t-test,0.124
60,0.6058484848484849,t-test,0.109
61,0.6159292929292929,t-test,0.118
62,0.626010101010101,t-test,0.11
63,0.636090909090909,t-test,0.121
64,0.6461717171717172,t-test,0.094
65,0.6562525252525253,t-test,0.126
66,0.6663333333333333,t-test,0.122
67,0.6764141414141415,t-test,0.136
68,0.6864949494949495,t-test,0.121
69,0.6965757575757576,t-test,0.116
70,0.7066565656565656,t-test,0.109
71,0.7167373737373738,t-test,0.118
72,0.7268181818181818,t-test,0.123
73,0.7368989898989899,t-test,0.121
74,0.746979797979798,t-test,0.127
75,0.7570606060606061,t-test,0.113
76,0.7671414141414141,t-test,0.11
77,0.7772222222222223,t-test,0.12
78,0.7873030303030303,t-test,0.13
79,0.7973838383838384,t-test,0.129
80,0.8074646464646464,t-test,0.115
81,0.8175454545454546,t-test,0.133
82,0.8276262626262626,t-test,0.142
83,0.8377070707070707,t-test,0.16
84,0.8477878787878788,t-test,0.15
85,0.8578686868686869,t-test,0.168
86,0.8679494949494949,t-test,0.162
87,0.878030303030303,t-test,0.16
88,0.8881111111111111,t-test,0.193
89,0.8981919191919192,t-test,0.177
90,0.9082727272727272,t-test,0.212
91,0.9183535353535354,t-test,0.211
