,$p_{ij}$,test,power
0,0.001,t-test,0.581
1,0.01108080808080808,t-test,0.404
2,0.021161616161616163,t-test,0.299
3,0.031242424242424245,t-test,0.266
4,0.041323232323232324,t-test,0.246
5,0.0514040404040404,t-test,0.208
6,0.06148484848484849,t-test,0.189
7,0.07156565656565657,t-test,0.196
8,0.08164646464646465,t-test,0.158
9,0.09172727272727273,t-test,0.187
10,0.1018080808080808,t-test,0.19
11,0.11188888888888888,t-test,0.157
12,0.12196969696969698,t-test,0.146
13,0.13205050505050506,t-test,0.152
14,0.14213131313131314,t-test,0.133
15,0.15221212121212122,t-test,0.102
16,0.1622929292929293,t-test,0.151
17,0.17237373737373737,t-test,0.113
18,0.18245454545454545,t-test,0.128
19,0.19253535353535353,t-test,0.143
20,0.2026161616161616,t-test,0.097
21,0.2126969696969697,t-test,0.116
22,0.22277777777777777,t-test,0.12
23,0.23285858585858585,t-test,0.11
24,0.24293939393939395,t-test,0.091
25,0.25302020202020203,t-test,0.126
26,0.2631010101010101,t-test,0.106
27,0.2731818181818182,t-test,0.092
28,0.28326262626262627,t-test,0.107
29,0.29334343434343435,t-test,0.099
30,0.30342424242424243,t-test,0.096
31,0.3135050505050505,t-test,0.101
32,0.3235858585858586,t-test,0.102
33,0.33366666666666667,t-test,0.109
34,0.34374747474747475,t-test,0.105
35,0.3538282828282828,t-test,0.112
36,0.3639090909090909,t-test,0.102
37,0.373989898989899,t-test,0.103
38,0.38407070707070706,t-test,0.095
39,0.39415151515151514,t-test,0.083
40,0.4042323232323232,t-test,0.093
41,0.4143131313131313,t-test,0.092
42,0.4243939393939394,t-test,0.091
43,0.43447474747474746,t-test,0.118
44,0.44455555555555554,t-test,0.093
45,0.4546363636363636,t-test,0.101
46,0.4647171717171717,t-test,0.09
47,0.4747979797979798,t-test,0.082
48,0.4848787878787879,t-test,0.108
49,0.494959595959596,t-test,0.092
50,0.5050404040404041,t-test,0.094
51,0.5151212121212121,t-test,0.094
52,0.5252020202020202,t-test,0.102
53,0.5352828282828282,t-test,0.087
54,0.5453636363636364,t-test,0.095
55,0.5554444444444444,t-test,0.093
56,0.5655252525252525,t-test,0.093
57,0.5756060606060606,t-test,0.104
58,0.5856868686868687,t-test,0.096
59,0.5957676767676767,t-test,0.116
60,0.6058484848484849,t-test,0.112
61,0.6159292929292929,t-test,0.088
62,0.626010101010101,t-test,0.098
63,0.636090909090909,t-test,0.089
64,0.6461717171717172,t-test,0.089
65,0.6562525252525253,t-test,0.106
66,0.6663333333333333,t-test,0.095
67,0.6764141414141415,t-test,0.118
68,0.6864949494949495,t-test,0.1
69,0.6965757575757576,t-test,0.122
70,0.7066565656565656,t-test,0.104
71,0.7167373737373738,t-test,0.112
72,0.7268181818181818,t-test,0.11
73,0.7368989898989899,t-test,0.135
74,0.746979797979798,t-test,0.111
75,0.7570606060606061,t-test,0.108
76,0.7671414141414141,t-test,0.1
77,0.7772222222222223,t-test,0.113
78,0.7873030303030303,t-test,0.109
79,0.7973838383838384,t-test,0.117
80,0.8074646464646464,t-test,0.127
81,0.8175454545454546,t-test,0.126
82,0.8276262626262626,t-test,0.126
83,0.8377070707070707,t-test,0.127
84,0.8477878787878788,t-test,0.155
85,0.8578686868686869,t-test,0.139
86,0.8679494949494949,t-test,0.157
